isFraud,TransactionAmt,TransactionDT,ProductCD,card1,card2,card3,card4,card5,addr1,addr2,dist1,dist2,DeviceType,M1,M2,M3,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0,41.738,6381910,W,5596,250.0,150.0,visa,102.0,348.0,87.0,78.76495161682782,41.8131490028792,mobile,T,T,,2.0,2.0,3.0,3.0,5.0,33.976241086643576,15.535199571543632,36.11716467577793,10.577951500289542,36.782685715373944,-0.9103429427853647,2.465965781964587,,0.6736388562576096,-1.6963354771581534,0.22633076997451682,,-0.4333459944459191,-0.2637996447561752,0.33230175551024993,-0.44760569982166776,-0.28016091813128025,-0.6890388409746285,0.6003470848103525,0.4547555950924948,-0.5126608803679996,1.8424247565171232,0.26589051705158134,-2.318514693362993,0.004165732168646006
0,59.792,3963380,H,16202,189.0,185.0,visa,102.0,395.0,87.0,14.990662893293411,,mobile,,T,,4.0,1.0,1.0,2.0,2.0,40.73724974278156,14.26316946136383,7.041739607835869,46.27253822572446,95.70403923551177,-0.9680032024776063,-0.382003773809725,1.1396442304884726,2.4039765103694886,0.6263747867718413,0.22235054917220026,0.20639228476777194,-0.0963360384332464,0.6217151491420644,-1.400561607906022,1.9449706100161812,,-0.70737816945668,0.28084330395701707,-0.7207459165306754,0.9095393391734942,0.2596244841475651,-1.0398080500405105,-0.9847482578684443,0.9780614527473318
0,69.085,3230633,W,12644,503.0,185.0,visa,166.0,232.0,,29.015667475505055,,mobile,F,T,,1.0,5.0,3.0,2.0,4.0,71.35025138851738,0.9070969913107274,32.52674220289013,25.755669436418348,249.81846139857586,0.7549966456319903,-0.5604474535556399,,1.596378410681855,0.6043848373867746,-0.7044847872505158,-0.38061682725914997,-1.5848439604839797,0.06622269157742773,-1.5127463226391038,-1.1346394749540114,-0.19130012203781144,-1.641798576972068,-0.22722836311401998,-0.5982146531775421,-2.6194601679178757,-1.165929419469014,0.1623982574275546,-0.081106715699167,1.95729268744284
0,44.47,1237007,W,16983,566.0,150.0,visa,,,87.0,,49.16846698976863,desktop,F,F,F,4.0,4.0,3.0,4.0,2.0,102.12655882237618,34.1996418655559,71.70918235946728,18.19226665368464,2.6620063510068066,0.2042757272393733,0.9229126387336019,,-0.710536360803985,-1.5525302140002883,0.37069248811281835,-0.8021506520533158,0.8416441125456566,0.9133893579314879,-1.5756550661471156,0.9943993951194021,2.0781779512789718,-1.7447948888330191,-0.0839904153139836,-0.5043580701899285,0.47313926385075755,2.4324778581837294,-0.7605626796904914,-0.6951481597910312,-0.3386597130311156
0,13.506,7374903,W,14603,144.0,150.0,visa,100.0,119.0,87.0,55.45742853338527,,desktop,,F,T,6.0,5.0,1.0,5.0,4.0,2.2693360283545765,96.23571354538677,21.845850163907357,14.143975970238362,81.67969019571414,0.558163725821831,0.42952508331522915,,-0.016640110569368167,0.1961166164850435,0.764094148195906,-1.0902064205772997,-0.9628334761819825,-0.9682023414398578,-3.504812860272739,-0.2999300607095464,0.09552341158520085,-0.5524623628865657,0.7081455605596881,-1.3285029691768582,-2.383825215994098,-1.9417458781394556,,-0.31083030928341254,1.1701517537802346
1,149.858,12024667,W,17241,219.0,,mastercard,,334.0,87.0,,170.19546772016506,desktop,T,,F,2.0,5.0,6.0,4.0,13.0,38.1807823411395,,176.412529815859,,135.8543900421851,2.381794975658361,-0.5030359025723025,1.0145801211818983,1.1519600151102822,1.837230077456803,1.2151491382980835,,1.5039427336012796,2.5216567788066198,1.5548447939806915,0.8078003215425084,1.1731635818805817,0.9262832530881724,0.1979847636342167,-1.523034388175465,1.5804723539910728,0.6432044538420956,0.954703440033761,0.6325953400028527,-1.7876895985597128
0,42.621,5082710,H,4679,242.0,150.0,visa,142.0,110.0,87.0,,16.24505627843451,mobile,T,F,,1.0,3.0,5.0,6.0,7.0,,,,49.152957793509174,,0.15223493977163954,-0.7813245350935025,1.7392485870522536,1.3321406377811627,-1.1977090041134686,-1.8379667977521983,-0.12017744747961759,-0.8558520679392542,1.2166770434540906,-0.43497250411199645,0.6419220576975333,-1.3282191645958863,1.4440420848577462,0.08547167506599221,1.9380562923514575,-1.6849001982945553,1.190585750798699,0.49989510772796014,2.0450262288179673,-0.6097555571515112
0,127.175,6345703,W,4468,595.0,150.0,visa,150.0,149.0,87.0,102.93284477617279,21.030239267598095,mobile,F,T,F,4.0,1.0,2.0,2.0,8.0,50.02266119899473,2.442671424772583,,35.814444698150574,,0.6161214715295836,-0.7926834920073218,,-0.10772291532432075,2.3592919780778505,-0.1264816073287568,-1.3217305659117509,1.0099124055905613,0.6024607936860195,-0.07529802663790135,-0.5219287852995173,-0.12741139698397635,1.7153437899787842,-0.20670665743716402,0.5193546751887075,0.8459971859496013,0.6623901149500067,,0.1678559362354137,-0.19047370393479973
0,23.642,9930010,W,2287,410.0,150.0,mastercard,224.0,295.0,87.0,172.83567074674255,1.9742861202994264,desktop,F,F,T,2.0,1.0,7.0,1.0,6.0,2.9538925532414515,29.46171120229511,31.295313029247097,56.310343261486054,38.31357363779805,0.027727383352244634,-0.5792832976517318,-0.4579559337523212,0.3527097351283649,-1.898130978371961,0.8123072138932995,0.8710296745897241,1.7863445672713403,2.351672875263123,1.3879952026090598,0.47041482715537924,,-0.4808093705038321,0.6533119602751619,0.67636634578799,0.5182015689933145,-2.0351555187567043,-1.8889586817253237,0.24593061863075283,0.3920050492649674
0,10.569,5588710,W,6828,577.0,,mastercard,102.0,,87.0,,179.21295038814247,desktop,T,T,T,2.0,4.0,4.0,4.0,5.0,44.250168885751336,,145.04777343543077,46.474479964999794,,1.4246713744317157,-1.7110484907411696,-0.33549238789780994,-0.9432192469174565,-0.4373311551849974,0.212692108668356,,0.8570274431425993,-0.41971810477534544,1.0976165864472611,1.4335848590786209,-3.8457033522180106,-0.9710760235383725,-0.4402064889670676,-0.6779302394000747,-0.5191917103564746,-0.0016239007734557872,-0.7397322715111462,0.3639490722069014,-0.9067681924097793
